Sex,Age Group,Year,Population
Female,17 to 19,2000,5240
Female,17 to 19,2001,5447
Female,17 to 19,2002,5114
Female,17 to 19,2003,4551
Female,17 to 19,2004,4868
Female,17 to 19,2005,4172
Female,17 to 19,2006,3662
Female,17 to 19,2007,4127
Female,17 to 19,2008,4253
Female,17 to 19,2009,4008
Female,17 to 19,2010,3685
Female,17 to 19,2011,3010
Female,17 to 19,2012,3347
Female,17 to 19,2013,3137
Female,17 to 19,2014,3407
Female,17 to 19,2015,3481
Female,17 to 19,2016,3460
Female,17 to 19,2017,3459
Female,17 to 19,2018,2769
Female,17 to 19,2019,2696
Female,17 to 19,2020,2132
Female,17 to 19,2021,1489
Female,17 to 19,2022,1503
Female,17 to 19,2023,1257
Female,20 to 24,2000,79321
Female,20 to 24,2001,80732
Female,20 to 24,2002,82565
Female,20 to 24,2003,85530
Female,20 to 24,2004,89784
Female,20 to 24,2005,89155
Female,20 to 24,2006,84915
Female,20 to 24,2007,79634
Female,20 to 24,2008,75524
Female,20 to 24,2009,73753
Female,20 to 24,2010,74679
Female,20 to 24,2011,73896
Female,20 to 24,2012,72617
Female,20 to 24,2013,70036
Female,20 to 24,2014,67366
Female,20 to 24,2015,64223
Female,20 to 24,2016,63112
Female,20 to 24,2017,63896
Female,20 to 24,2018,61992
Female,20 to 24,2019,58320
Female,20 to 24,2020,56109
Female,20 to 24,2021,52132
Female,20 to 24,2022,47381
Female,20 to 24,2023,42485
Female,25 to 29,2000,141479
Female,25 to 29,2001,138843
Female,25 to 29,2002,139663
Female,25 to 29,2003,142111
Female,25 to 29,2004,146773
Female,25 to 29,2005,153429
Female,25 to 29,2006,160097
Female,25 to 29,2007,166391
Female,25 to 29,2008,168651
Female,25 to 29,2009,166424
Female,25 to 29,2010,162332
Female,25 to 29,2011,155886
Female,25 to 29,2012,150377
Female,25 to 29,2013,148117
Female,25 to 29,2014,147596
Female,25 to 29,2015,146488
Female,25 to 29,2016,144131
Female,25 to 29,2017,139913
Female,25 to 29,2018,135656
Female,25 to 29,2019,130666
Female,25 to 29,2020,127172
Female,25 to 29,2021,125867
Female,25 to 29,2022,125688
Female,25 to 29,2023,123502
Female,30 to 34,2000,193123
Female,30 to 34,2001,191577
Female,30 to 34,2002,187980
Female,30 to 34,2003,182907
Female,30 to 34,2004,178307
Female,30 to 34,2005,170574
Female,30 to 34,2006,168221
Female,30 to 34,2007,170782
Female,30 to 34,2008,174404
Female,30 to 34,2009,178785
Female,30 to 34,2010,185512
Female,30 to 34,2011,192016
Female,30 to 34,2012,198194
Female,30 to 34,2013,201235
Female,30 to 34,2014,200604
Female,30 to 34,2015,197067
Female,30 to 34,2016,191192
Female,30 to 34,2017,185104
Female,30 to 34,2018,181773
Female,30 to 34,2019,180366
Female,30 to 34,2020,179163
Female,30 to 34,2021,176902
Female,30 to 34,2022,172595
Female,30 to 34,2023,168670
Female,35 to 39,2000,231714
Female,35 to 39,2001,220927
Female,35 to 39,2002,210931
Female,35 to 39,2003,205036
Female,35 to 39,2004,203232
Female,35 to 39,2005,205866
Female,35 to 39,2006,204590
Female,35 to 39,2007,200992
Female,35 to 39,2008,195517
Female,35 to 39,2009,190245
Female,35 to 39,2010,181971
Female,35 to 39,2011,179239
Female,35 to 39,2012,181426
Female,35 to 39,2013,185476
Female,35 to 39,2014,190990
Female,35 to 39,2015,198361
Female,35 to 39,2016,205367
Female,35 to 39,2017,211732
Female,35 to 39,2018,214937
Female,35 to 39,2019,213801
Female,35 to 39,2020,210200
Female,35 to 39,2021,204477
Female,35 to 39,2022,197760
Female,35 to 39,2023,194781
Female,40 to 44,2000,230531
Female,40 to 44,2001,240245
Female,40 to 44,2002,247601
Female,40 to 44,2003,251015
Female,40 to 44,2004,248803
Female,40 to 44,2005,241233
Female,40 to 44,2006,230947
Female,40 to 44,2007,221199
Female,40 to 44,2008,215203
Female,40 to 44,2009,212983
Female,40 to 44,2010,215599
Female,40 to 44,2011,214167
Female,40 to 44,2012,210156
Female,40 to 44,2013,204539
Female,40 to 44,2014,198956
Female,40 to 44,2015,190387
Female,40 to 44,2016,187732
Female,40 to 44,2017,190178
Female,40 to 44,2018,194483
Female,40 to 44,2019,199591
Female,40 to 44,2020,207181
Female,40 to 44,2021,214567
Female,40 to 44,2022,221343
Female,40 to 44,2023,224959
Female,45 to 49,2000,173949
Female,45 to 49,2001,190896
Female,45 to 49,2002,205203
Female,45 to 49,2003,216379
Female,45 to 49,2004,225746
Female,45 to 49,2005,234809
Female,45 to 49,2006,244855
Female,45 to 49,2007,252644
Female,45 to 49,2008,256132
Female,45 to 49,2009,253895
Female,45 to 49,2010,246271
Female,45 to 49,2011,235962
Female,45 to 49,2012,226088
Female,45 to 49,2013,219828
Female,45 to 49,2014,217620
Female,45 to 49,2015,220270
